"","3Fr","Alk","Ane","Ccm","Col","Dia","Dts","Emr","Geb","Hag","Hsr","HTP","NHC","Odi","Ros","Sav","Sel","Wis"
"2016-01-01",48,48,53,0,193,75,37,157,42,145,44,262,107,74,17,81,104,38
"2016-01-02",50,48,52,0,229,95,28,152,43,159,65,255,130,86,12,95,106,38
"2016-01-03",53,53,44,0,193,71,28,156,44,139,65,219,106,71,11,76,106,33
"2016-01-04",53,48,44,0,222,93,39,133,32,143,47,211,89,76,25,98,103,31
"2016-01-05",49,60,46,0,168,83,40,159,39,100,39,210,76,67,28,86,65,38
"2016-01-06",53,45,43,0,192,83,33,125,44,125,38,198,90,76,19,82,71,28
"2016-01-07",34,45,34,0,189,83,45,127,37,114,44,199,107,70,9,77,111,33
"2016-01-08",47,50,36,0,177,67,32,152,33,117,52,214,82,92,20,88,71,35
"2016-01-09",42,31,53,0,186,78,36,142,42,122,48,192,87,162,15,68,76,25
"2016-01-10",55,43,44,0,180,61,27,128,45,144,49,218,91,133,14,76,88,32
"2016-01-11",42,57,29,0,199,87,34,147,45,155,54,233,86,144,24,92,83,37
"2016-01-12",43,44,33,0,173,78,25,114,30,122,32,226,92,136,14,74,72,37
"2016-01-13",43,32,32,0,197,79,29,134,31,114,34,205,78,65,12,86,74,32
"2016-01-14",35,41,50,0,168,79,36,117,44,119,46,207,84,60,18,99,81,36
